player1, player2
Czas:
2863267200, 35012200
2308519700, 31448400
1888822600, 27789200
1527258600, 24015800
1255253200, 22520800
994396800, 20587400
743193600, 19888600
596493700, 16621300
438117700, 13270900
331856200, 11833900
250938400, 6785100
181473800, 6221300
118462900, 4945300
80525900, 3565700
52963900, 2636300
31305200, 2021200
20189400, 1313200
10444900, 815400
5312000, 522100
2435600, 370300
914800, 164000
265300, 96200
47600, 39300
4800, 12600
800
Liczba przejrzanych węzłów
5197969,6718
4380259,6162
3663045,5630
3037735,5122
2496121,6308
2030379,6948
1633069,7795
1297135,6490
1015905,5921
783091,5643
592789,2404
439479,2725
318025,2315
223675,1789
152061,1365
99199,1206
61489,1002
35715,702
19045,434
9031,348
3609,201
1099,152
205,48
15,5
1
